Vds,Id
0,0
0.09,0.03
0.19,0.06
0.28,0.1
0.39,0.13
0.48,0.16
0.58,0.2
0.69,0.23
0.78,0.26
0.88,0.29
0.98,0.32
1.08,0.35
1.17,0.38
1.28,0.4
1.33,0.443
1.43,0.469
1.52,0.495
1.62,0.519
1.72,0.544
1.82,0.568
1.91,0.59
2.01,0.613
2.11,0.635
2.21,0.656
2.3,0.677
2.4,0.697
2.5,0.717
2.6,0.735
2.69,0.754
2.79,0.772
2.89,0.79
2.99,0.807
3.09,0.824
3.17,0.84
3.29,0.857
3.38,0.872
3.48,0.887
3.58,0.902
3.68,0.917
3.77,0.93
3.87,0.944
3.97,0.958
4.07,0.971
4.17,0.983
4.26,0.996
4.37,1.009
4.46,1.027
4.56,1.032
4.67,1.044
4.76,1.056
4.86,1.067
4.96,1.077
5.06,1.088
5.16,1.098
5.25,1.109
5.36,1.119
5.46,1.129
5.55,1.138
5.66,1.147
5.75,1.157
5.85,1.171
5.95,1.18
6.05,1.189
6.15,1.197
6.25,1.206
6.35,1.214
6.45,1.222
6.55,1.23
6.64,1.238
6.75,1.246
6.85,1.254
6.95,1.261
7.04,1.269
7.15,1.276
7.24,1.283
7.34,1.291
7.45,1.298
7.54,1.304
7.64,1.311
7.74,1.318
7.84,1.325
7.94,1.331
8.03,1.338
8.14,1.334
8.24,1.35
8.34,1.356
8.44,1.363
8.54,1.369
8.64,1.375
8.74,1.381
8.84,1.387
8.94,1.393
9.04,1.398
9.14,1.404
9.24,1.41
9.34,1.415
9.43,1.421
9.53,1.421
9.64,1.432
9.74,1.437
9.83,1.442
9.94,1.448
10.04,1.453
10.14,1.458
10.23,1.463
10.34,1.468
10.44,1.473
10.54,1.478
10.64,1.483
10.74,1.488
10.84,1.493
10.93,1.497
11.03,1.502
11.13,1.507
11.23,1.511
11.33,1.516
11.44,1.52
11.54,1.525
11.64,1.529
11.74,1.533
11.83,1.539
11.94,1.543
12.04,1.548
12.14,1.552
12.24,1.555
12.34,1.56
12.84,1.582
13.33,1.602
13.84,1.621
14.34,1.641
14.84,1.659
15.34,1.677
15.84,1.695
16.34,1.711
16.85,1.728
17.35,1.744
17.83,1.76
18.35,1.775
18.85,1.791
19.35,1.806
19.86,1.82
20.3,1.834
20.8,1.848
21.3,1.862
21.8,1.875
22.3,1.889
22.7,1.902
23.3,1.915
23.7,1.928
24.3,1.94
24.7,1.953
25.4,1.967
25.8,1.977
26.3,1.988
27,1.989
27.5,1.99
28,2
28.6,2.01
29,2.02
29.5,2.03
30,2.04
30.5,2.05
31.1,2.06
